Zipcode,Water depth
01709,8.0
02708,84.0
07001,8.050761421319796
07002,9.903015484922575
07003,20.45982694684796
07004,5.545454545454546
07005,2.688888888888889
07006,7.142857142857143
07008,15.013182674199623
07009,5.926605504587156
07010,13.867857142857142
07011,19.85021551724138
07012,7.113475177304965
07013,11.24935732647815
07014,8.855421686746988
07016,23.19219219219219
07017,11.51639344262295
07018,11.368843069873998
07019,8.0
07020,6.592592592592593
07021,4.6923076923076925
07022,16.161290322580644
07023,11.066037735849056
07024,12.706601466992666
07026,11.749450549450549
07027,10.341176470588236
07028,8.83838383838384
07029,7.185714285714286
07030,7.128205128205129
07031,7.965957446808511
07032,12.247549019607844
07033,9.81081081081081
07034,4.942857142857143
07035,8.14102564102564
07036,15.458957887223411
07039,7.0894568690095845
07040,11.760456273764259
07041,17.309278350515463
07042,9.846361185983827
07043,13.333333333333334
07044,10.772727272727273
07045,2.953488372093023
07046,0.9090909090909091
07047,13.158259149357072
07050,11.30421686746988
07052,9.176678445229681
07054,3.890625
07055,8.54326923076923
07057,20.231920199501246
07058,5.32
07059,5.5375
07060,13.33933933933934
07062,17.301052631578948
07063,11.53757225433526
07064,9.361702127659575
07065,21.247144340602283
07066,16.349019607843136
07067,11.465227817745804
07068,11.095890410958905
07069,7.661971830985915
07070,11.887755102040817
07071,14.494199535962878
07072,11.93939393939394
07073,18.264550264550266
07074,9.023809523809524
07075,11.11320754716981
07076,13.112338858195212
07077,5.933333333333334
07078,8.897058823529411
07079,11.596256684491978
07080,11.690117252931323
07081,17.161194029850748
07082,2.130434782608696
07083,14.20763723150358
07086,9.361344537815127
07087,9.514
07088,13.993288590604028
07090,9.891472868217054
07092,5.586206896551724
07093,9.05730659025788
07094,12.852777777777778
07095,6.447852760736196
07097,0.0
07102,3.1885245901639343
07103,7.762886597938144
07104,6.479573712255773
07105,14.235443037974683
07106,16.159513590844064
07107,15.77432296890672
07108,8.128987517337032
07109,16.085181898846496
07110,14.095816464237517
07111,12.405797101449275
07112,8.64179104477612
07114,7.992647058823529
07176,22.0
07180,24.0
07201,12.599613152804642
07202,15.186855670103093
07203,13.338274932614555
07204,15.558194774346793
07205,18.631197097944376
07206,13.00978792822186
07207,0.0
07208,32.575581395348834
07302,8.79757085020243
07304,7.859671302149178
07305,7.440928270042194
07306,9.483935742971887
07307,10.360619469026549
07308,0.0
07310,2.142857142857143
07401,5.023809523809524
07403,2.0208333333333335
07405,2.310344827586207
07407,7.064935064935065
07410,5.184100418410042
07417,3.4545454545454546
07420,14.923076923076923
07421,3.08
07423,8.27027027027027
07424,12.355633802816902
07430,3.542056074766355
07432,2.6226415094339623
07435,6.714285714285714
07436,4.065934065934066
07438,5.7272727272727275
07440,4.923076923076923
07442,6.986666666666666
07444,2.3214285714285716
07446,1.5833333333333333
07450,8.594017094017094
07452,2.622950819672131
07456,2.586206896551724
07457,3.4615384615384617
07458,5.988636363636363
07463,6.734177215189874
07465,1.9090909090909092
07470,8.064285714285715
07480,2.893939393939394
07481,4.1679389312977095
07501,9.83922261484099
07502,9.340540540540541
07503,6.423423423423423
07504,10.890365448504983
07505,1.1176470588235294
07506,6.25503355704698
07508,7.938997821350762
07512,13.50943396226415
07513,4.162962962962963
07514,8.1875
07522,13.20507399577167
07524,6.2781456953642385
07601,12.764102564102565
07603,11.418032786885245
07604,10.22184300341297
07605,9.08108108108108
07606,16.8
07607,12.009950248756219
07608,0.0
07620,6.636363636363637
07621,9.48873873873874
07624,8.153846153846153
07626,12.38586956521739
07627,7.082191780821918
07628,11.742424242424242
07630,5.03125
07631,20.581371545547594
07632,12.191780821917808
07640,7.6
07641,6.709677419354839
07642,15.010416666666666
07643,9.80813953488372
07644,16.46153846153846
07645,2.6363636363636362
07646,18.881533101045296
07647,5.622641509433962
07648,6.363636363636363
07649,9.50561797752809
07650,13.404255319148936
07652,8.887459807073954
07656,0.6904761904761905
07657,19.594795539033456
07660,7.508333333333334
07661,8.88888888888889
07662,26.65
07663,14.465454545454545
07666,6.587301587301587
07670,13.213450292397662
07675,10.988
07676,5.3428571428571425
07677,4.2
07718,0.0
07721,0.0
07735,8.090909090909092
07747,2.903225806451613
07801,6.3538461538461535
07803,4.375
07823,0.37037037037037035
07825,1.2352941176470589
07828,2.3461538461538463
07830,1.0
07832,7.428571428571429
07834,3.9166666666666665
07836,0.48
07838,1.4
07840,1.0408163265306123
07844,36.0
07847,1.0
07849,1.1428571428571428
07850,3.15
07852,0.0
07853,0.5454545454545454
07856,0.0
07857,0.75
07863,8.75
07865,5.076923076923077
